Filename,Vmax,Rmax,Extent_kpc,GalaxyType
CamB_rotmod.dat,20.1,1.79,1.79,dwarf
D512-2_rotmod.dat,37.2,2.88,3.83,dwarf
D564-8_rotmod.dat,25.0,3.07,3.07,dwarf
D631-7_rotmod.dat,58.5,6.29,7.19,spiral
DDO064_rotmod.dat,46.9,2.98,2.98,dwarf
DDO154_rotmod.dat,48.2,4.94,5.92,uncertain
DDO161_rotmod.dat,67.5,10.52,13.37,spiral
DDO168_rotmod.dat,55.0,3.71,4.12,uncertain
DDO170_rotmod.dat,62.2,12.33,12.33,spiral
ESO079-G014_rotmod.dat,178.0,16.67,16.67,spiral
ESO116-G012_rotmod.dat,112.0,9.86,9.86,spiral
ESO444-G084_rotmod.dat,63.1,3.39,4.44,uncertain
ESO563-G021_rotmod.dat,321.0,37.3,42.41,super-spiral
F561-1_rotmod.dat,50.4,8.06,9.66,spiral
F563-1_rotmod.dat,112.5,19.02,20.1,spiral
F563-V1_rotmod.dat,29.5,5.24,7.87,uncertain
F563-V2_rotmod.dat,118.0,10.18,10.47,spiral
F565-V2_rotmod.dat,83.1,8.8,8.8,spiral
F567-2_rotmod.dat,52.2,9.59,9.59,spiral
F568-1_rotmod.dat,142.0,13.23,13.23,spiral
F568-3_rotmod.dat,120.0,17.98,17.98,spiral
F568-V1_rotmod.dat,118.0,17.63,17.63,spiral
F571-8_rotmod.dat,144.0,15.55,15.55,spiral
F571-V1_rotmod.dat,84.3,11.66,13.59,spiral
F574-1_rotmod.dat,99.7,12.6,12.6,spiral
F574-2_rotmod.dat,40.0,10.83,10.83,uncertain
F579-V1_rotmod.dat,114.0,10.85,15.16,spiral
F583-1_rotmod.dat,86.9,15.49,16.26,spiral
F583-4_rotmod.dat,69.9,7.29,7.29,spiral
IC2574_rotmod.dat,67.5,10.23,10.23,spiral
IC4202_rotmod.dat,250.0,14.11,25.9,super-spiral
KK98-251_rotmod.dat,34.6,2.79,3.13,dwarf
NGC0024_rotmod.dat,110.0,11.27,11.27,spiral
NGC0055_rotmod.dat,87.4,12.89,13.5,spiral
NGC0100_rotmod.dat,91.2,9.62,9.62,spiral
NGC0247_rotmod.dat,108.0,14.01,14.54,spiral
NGC0289_rotmod.dat,194.0,2.52,71.12,spiral
NGC0300_rotmod.dat,97.0,9.53,11.8,spiral
NGC0801_rotmod.dat,238.0,3.52,59.82,super-spiral
NGC0891_rotmod.dat,234.0,0.92,17.11,super-spiral
NGC1003_rotmod.dat,115.0,30.24,30.24,spiral
NGC1090_rotmod.dat,176.0,11.28,30.09,spiral
NGC1705_rotmod.dat,73.2,1.55,6.0,spiral
NGC2366_rotmod.dat,53.7,4.16,6.06,spiral
NGC2403_rotmod.dat,136.0,17.39,20.87,spiral
NGC2683_rotmod.dat,212.0,5.77,34.62,super-spiral
NGC2841_rotmod.dat,323.0,8.57,63.64,super-spiral
NGC2903_rotmod.dat,216.0,3.84,24.96,super-spiral
NGC2915_rotmod.dat,86.5,10.04,10.04,spiral
NGC2955_rotmod.dat,276.0,12.4,35.43,super-spiral
NGC2976_rotmod.dat,88.7,2.1,2.27,uncertain
NGC2998_rotmod.dat,214.0,12.5,42.28,super-spiral
NGC3109_rotmod.dat,67.3,6.45,6.45,spiral
NGC3198_rotmod.dat,157.0,14.05,44.08,spiral
NGC3521_rotmod.dat,220.0,4.12,17.74,super-spiral
NGC3726_rotmod.dat,169.0,30.08,32.52,spiral
NGC3741_rotmod.dat,51.6,7.0,7.0,spiral
NGC3769_rotmod.dat,126.0,8.72,37.16,spiral
NGC3877_rotmod.dat,171.0,8.72,11.35,spiral
NGC3893_rotmod.dat,194.0,5.24,19.05,spiral
NGC3917_rotmod.dat,138.0,13.94,14.86,spiral
NGC3949_rotmod.dat,169.0,7.07,7.07,spiral
NGC3953_rotmod.dat,224.0,10.47,15.68,super-spiral
NGC3972_rotmod.dat,134.0,7.85,8.72,spiral
NGC3992_rotmod.dat,272.0,18.35,46.02,super-spiral
NGC4010_rotmod.dat,129.0,7.85,10.47,spiral
NGC4013_rotmod.dat,198.0,5.49,31.01,spiral
NGC4051_rotmod.dat,161.0,8.72,12.19,spiral
NGC4068_rotmod.dat,41.9,2.33,2.33,dwarf
NGC4085_rotmod.dat,136.0,6.2,6.2,spiral
NGC4088_rotmod.dat,182.0,8.72,21.48,spiral
NGC4100_rotmod.dat,195.0,7.85,22.76,spiral
NGC4138_rotmod.dat,195.0,5.24,18.58,spiral
NGC4157_rotmod.dat,201.0,6.98,29.61,super-spiral
NGC4183_rotmod.dat,115.0,9.6,21.02,spiral
NGC4214_rotmod.dat,80.6,5.22,5.63,spiral
NGC4217_rotmod.dat,191.0,9.6,16.72,spiral
NGC4389_rotmod.dat,110.0,5.32,5.32,spiral
NGC4559_rotmod.dat,124.0,14.38,20.97,spiral
NGC5005_rotmod.dat,265.0,8.19,11.47,uncertain
NGC5033_rotmod.dat,225.0,6.85,44.59,super-spiral
NGC5055_rotmod.dat,206.0,7.91,54.59,super-spiral
NGC5371_rotmod.dat,242.0,17.28,46.24,super-spiral
NGC5585_rotmod.dat,92.3,8.9,10.96,spiral
NGC5907_rotmod.dat,235.0,10.07,50.33,super-spiral
NGC5985_rotmod.dat,305.0,13.39,34.72,super-spiral
NGC6015_rotmod.dat,166.0,21.04,29.23,spiral
NGC6195_rotmod.dat,258.0,19.1,36.43,super-spiral
NGC6503_rotmod.dat,121.0,3.79,23.5,spiral
NGC6674_rotmod.dat,291.0,12.54,72.41,super-spiral
NGC6789_rotmod.dat,60.4,0.71,0.71,uncertain
NGC6946_rotmod.dat,181.0,6.92,20.4,spiral
NGC7331_rotmod.dat,257.0,5.35,36.31,super-spiral
NGC7793_rotmod.dat,116.0,4.2,7.87,spiral
NGC7814_rotmod.dat,265.0,0.63,19.53,super-spiral
PGC51017_rotmod.dat,20.5,0.33,3.63,dwarf
UGC00128_rotmod.dat,134.0,46.28,53.75,spiral
UGC00191_rotmod.dat,83.85,9.98,9.98,spiral
UGC00634_rotmod.dat,108.0,13.51,18.01,spiral
UGC00731_rotmod.dat,74.0,9.09,10.91,spiral
UGC00891_rotmod.dat,63.75,7.39,7.39,spiral
UGC01230_rotmod.dat,113.0,14.85,36.54,spiral
UGC01281_rotmod.dat,56.9,4.99,4.99,uncertain
UGC02023_rotmod.dat,58.8,3.78,3.78,uncertain
UGC02259_rotmod.dat,90.0,8.14,8.14,spiral
UGC02455_rotmod.dat,61.0,4.03,4.03,uncertain
UGC02487_rotmod.dat,383.0,30.14,80.38,super-spiral
UGC02885_rotmod.dat,305.0,1.7,74.07,super-spiral
UGC02916_rotmod.dat,218.0,8.51,38.0,super-spiral
UGC02953_rotmod.dat,319.0,8.25,62.39,super-spiral
UGC03205_rotmod.dat,237.0,5.8,40.04,super-spiral
UGC03546_rotmod.dat,262.0,0.63,29.23,super-spiral
UGC03580_rotmod.dat,131.0,21.02,27.06,spiral
