Galaxy,Type,GEODESIC_chi2,GEODESIC_AIC,GEODESIC_BIC,MOND_chi2,MOND_AIC,MOND_BIC
CamB,dwarf,9.730546714620429,79.84437371696343,80.04159829429965,15.870759807993498,128.96607846394798,129.1633030412842
D512-2,dwarf,12.548416483634464,39.64524945090339,39.03154381202328,8.85894061459582,28.57682184378746,27.96311620490735
D564-8,dwarf,10.5589609821024,54.794804910512,54.586564379740054,10.92130529707585,56.60652648537925,56.3982859546073
D631-7,spiral,30.933417960707356,466.00126941061035,466.77385813285014,49.179273287103115,739.6890993065467,740.4616880287865
DDO064,dwarf,25.12502920025162,328.6253796032711,329.2644369328863,43.87018245608293,572.312371929078,572.9514292586933
DDO154,uncertain,21.403169405565876,237.43486346122464,237.91977011101264,26.001216420059208,288.0133806206513,288.4982872704393
DDO161,spiral,32.032570910341306,962.9771273102391,964.4111145147242,39.962394557549615,1200.8718367264885,1202.3058239309737
DDO168,uncertain,23.156646369764147,210.4098173278773,210.71240242087134,29.48497801959744,267.36480217637694,267.667387269371
DDO170,spiral,27.428429503167063,193.99900652216945,194.0784480638493,20.173229217895198,143.21260452526639,143.29204606694623
ESO079-G014,spiral,88.52981622667747,1241.4174271734846,1242.1254773745868,120.95398005015599,1695.3557207021838,1696.063770903286
ESO116-G012,spiral,61.83015246375921,867.622134492629,868.3301846937312,99.81233453801893,1399.372683532265,1400.0807337333672
ESO444-G084,uncertain,29.281309723422325,177.68785834053395,177.63376848958927,40.70863390457374,246.2518034274424,246.19771357649773
ESO563-G021,super-spiral,261.649142279508,7589.825126105731,7591.2263234873935,674.6669911055316,19567.342742060417,19568.74393944208
F561-1,spiral,21.9482349267675,111.7411746338375,111.53293410306556,18.24468976288545,93.22344881442726,93.01520828365531
F563-1,spiral,60.293362016070326,966.6937922571252,967.5270056011814,73.53195165344749,1178.5112264551599,1179.3444397992162
F563-V1,uncertain,12.785119298773486,65.92559649386743,65.71735596309549,12.184888722615423,62.924443613077116,62.71620308230517
F563-V2,spiral,87.76374001928212,791.8736601735391,792.1762452665331,154.59277692211973,1393.3349922990776,1393.6375773920718
F565-V2,spiral,44.28943975607411,267.7366385364447,267.68254868549997,44.55805051154741,269.34830306928444,269.29421321833973
F567-2,spiral,26.473519271573434,107.89407708629373,107.50351499872784,15.664210795232886,64.65684318093155,64.26628109336565
F568-1,spiral,87.69105747756903,966.6016322532594,967.0865389030473,167.38030769507498,1843.1833846458248,1843.6682912956128
F568-3,spiral,60.29888538020153,1027.081051463426,1027.9714232213223,95.27540563014334,1621.6818957124367,1622.572267470333
F568-V1,spiral,73.79776478629783,1035.1687070081696,1035.8767572092718,132.93465267459706,1863.0851374443587,1863.7931876454609
F571-8,spiral,86.39421072077126,1038.7305286492551,1039.2954780067166,169.0243352302847,2030.2920227634163,2030.8569721208778
F571-V1,spiral,46.001784878843985,278.0107092730639,277.9566194221192,36.63103372722529,221.78620236335172,221.73211251240704
F574-1,spiral,60.74170503771049,791.6421654902364,792.2812228198517,111.53465745165994,1451.9505468715793,1452.5896042011946
F574-2,uncertain,21.029437741536114,86.11775096614446,85.72718887857856,17.395008012166066,71.58003204866426,71.18946996109837
F579-V1,spiral,56.38500663455955,735.0050862492742,735.6441435788895,81.42941932812349,1060.5824512656054,1061.2215085952207
F583-1,spiral,43.63743883380439,1049.2985320113053,1050.5174078361736,63.68298246131954,1530.391579071669,1531.6104548965372
F583-4,spiral,37.79915902431653,417.79074926748183,418.27565591726983,68.6811165786454,757.4922823650994,757.9771890148874
IC2574,spiral,29.566084040010598,977.6807733203498,979.2071338449659,34.42697322057544,1138.0901162789896,1139.6164768036058
IC4202,super-spiral,145.08976253945966,4499.782638723249,4501.248374626049,270.10035884656077,8375.111124243384,8376.576860146184
KK98-251,dwarf,17.04340597035567,240.6076835849794,241.3157337860816,24.364530583786753,343.10342817301455,343.81147837411675
NGC0024,spiral,46.63093919760197,1307.6662975328552,1309.0335933628417,74.28605698873223,2082.0095956845025,2083.376891514489
NGC0055,spiral,43.905682129730685,880.1136425946137,881.1581650323371,35.98212656568529,721.6425313137058,722.6870537514293
NGC0100,spiral,61.28923080513753,1227.7846161027505,1228.8291385404739,144.26139202027287,2887.2278404054573,2888.272362843181
NGC0247,spiral,48.55590863617129,1215.8977159042822,1217.1558124423036,39.7594282418859,995.9857060471476,997.2438025851691
NGC0289,spiral,80.63583790349755,2179.1676233944336,2180.499827904609,54.14768622793984,1463.9875281543757,1465.3197326645509
NGC0300,spiral,44.969344590787394,1081.2642701788975,1082.4831460037658,36.291230395075594,872.9895294818143,874.2084053066825
NGC0801,super-spiral,79.2914446058842,953.4973352706104,954.0622846280719,109.65505387503565,1317.8606465004277,1318.4255958578892
NGC0891,super-spiral,88.21926554124599,1501.7275142011817,1502.617885959078,43.170133054872906,735.8922619328395,736.7826336907357
